"0-1 where 0 is good, 1 is bad",,,,,,,,,,,,,,,,,,,,,,,,
Node,12:00 AM,1:00 AM,2:00 AM,3:00 AM,4:00 AM,5:00 AM,6:00 AM,7:00 AM,8:00 AM,9:00 AM,10:00 AM,11:00 AM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,9:00 PM,10:00 PM,11:00 PM
1,0.60,0.60,0.60,0.60,0.60,0.60,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.60,0.60,0.60,0.60,0.60
2,0.70,0.70,0.70,0.70,0.70,0.70,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.70,0.70,0.70,0.70,0.70
3,0.80,0.80,0.80,0.80,0.80,0.80,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.80,0.80,0.80,0.80,0.80
4,0.60,0.60,0.60,0.60,0.60,0.60,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.60,0.60,0.60,0.60,0.60
5,0.50,0.50,0.50,0.50,0.50,0.50,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.50,0.50,0.50,0.50,0.50
6,0.60,0.60,0.60,0.60,0.60,0.60,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.60,0.60,0.60,0.60,0.60
7,0.70,0.70,0.70,0.70,0.70,0.70,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.70,0.70,0.70,0.70,0.70
8,0.60,0.60,0.60,0.60,0.60,0.60,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.60,0.60,0.60,0.60,0.60
9,0.30,0.30,0.30,0.30,0.30,0.30,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.30,0.30,0.30,0.30,0.30
10,0.40,0.40,0.40,0.40,0.40,0.40,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.40,0.40,0.40,0.40,0.40
11,0.40,0.40,0.40,0.40,0.40,0.40,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.40,0.40,0.40,0.40,0.40
12,0.40,0.40,0.40,0.40,0.40,0.40,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.40,0.40,0.40,0.40,0.40
13,0.30,0.30,0.30,0.30,0.30,0.30,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.30,0.30,0.30,0.30,0.30
14,0.90,0.90,0.90,0.90,0.90,0.90,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.45,0.90,0.90,0.90,0.90,0.90
15,0.20,0.20,0.20,0.20,0.20,0.20,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.20,0.20,0.20,0.20,0.20
16,0.90,0.90,0.90,0.90,0.90,0.90,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.45,0.90,0.90,0.90,0.90,0.90
17,1.00,1.00,1.00,1.00,1.00,1.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,1.00,1.00,1.00,1.00,1.00
18,0.70,0.70,0.70,0.70,0.70,0.70,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.70,0.70,0.70,0.70,0.70
19,0.60,0.60,0.60,0.60,0.60,0.60,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.60,0.60,0.60,0.60,0.60
20,0.50,0.50,0.50,0.50,0.50,0.50,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.50,0.50,0.50,0.50,0.50
21,0.50,0.50,0.50,0.50,0.50,0.50,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.50,0.50,0.50,0.50,0.50
